cpf,nome,rnp,registro_crea
12312300109,ANA CLARA COSTA,0412340011,61657
12312300290,JOÃO MIGUEL SANTOS,0412340020,27876
12312300370,MARIA EDUARDA LIMA,0412340038,70991
12312300451,PEDRO HENRIQUE ALVES,0412340046,89990
12312300532,ALICE FERNANDES,0412340054,60139
12312300613,ARTHUR GOMES,0412340062,90834
12312300702,SOPHIA MARTINS,0412340070,13642
12312300885,BERNARDO ROCHA,0412340089,79065
12312300966,LAURA RIBEIRO,0412340097,91468
12312301008,ENZO GABRIEL CARVALHO,0412340100,15712
12312301180,JÚLIA MELO,0412340119,92967
12312301261,MIGUEL BARBOSA,0412340127,48770
12312301342,BEATRIZ AZEVEDO,0412340135,99170
12312301423,DAVI LUCAS CASTRO,0412340143,27205
12312301504,VALENTINA BARROS,0412340151,86530
12312301695,HEITOR DIAS,0412340160,13839
12312301776,HELENA MORAES,0412340178,29538
12312301857,SAMUEL NOGUEIRA,0412340186,32874
12312301938,ISABELLA FREITAS,0412340194,17526
12312302071,LORENZO MENDES,0412340208,83711
12312302152,MANUELA CARDOSO,0412340216,36740
12312302233,GABRIEL FARIAS,0412340224,71234
12312302314,MARIANA MONTEIRO,0412340232,13384
12312302403,MATHEUS CAVALCANTI,0412340240,32093
12312302586,LARA TEIXEIRA,0412340259,26125
12312302667,LUCAS MOURA,0412340267,64557
12312302748,LÍVIA BATISTA,0412340275,11994
12312302829,NICOLAS PIRES,0412340283,51786
12312302900,LORENA VIEIRA,0412340291,11268
12312303043,GUILHERME ARAGÃO,0412340305,17969
12312303124,GIOVANNA VIANA,0412340313,84467
12312303205,RAFAEL FARIA,0412340321,44915
12312303396,MARIA LUIZA MACHADO,0412340330,46372
12312303477,GUSTAVO ASSIS,0412340348,67616
12312303558,CECÍLIA BORGES,0412340356,57685
12312303639,MURILO CUNHA,0412340364,45598
12312303710,FERNANDA RAMOS,0412340372,88932
12312303809,FELIPE DANTAS,0412340380,33720
12312303981,AMANDA PEIXOTO,0412340399,96652
12312304015,HENRIQUE NEVES,0412340402,70308
12312304104,CAROLINA MACIEL,0412340410,29977
12312304287,THIAGO LEMOS,0412340429,91329
12312304368,LETÍCIA NOVAES,0412340437,70382
12312304449,CAIO GUEDES,0412340445,70107
12312304520,CAMILA XAVIER,0412340453,73120
12312304600,VICTOR CORDEIRO,0412340461,80591
12312304791,LUANA AGUIAR,0412340470,90489
12312304872,DANIEL PACHECO,0412340488,42635
12312304953,ISADORA DUARTE,0412340496,80010
12312305097,EDUARDO BRITTO,0412340500,23551
12312305178,MELISSA MEDEIROS,0412340518,86907
12312305259,DIEGO VIANNA,0412340526,14096
12312305330,CLARA LEAL,0412340534,77724
12312305410,LEONARDO GUIMARÃES,0412340542,56826
12312305500,MARINA BENTES,0412340550,32645
12312305682,RODRIGO SALES,0412340569,54635
12312305763,NICOLE GUSMÃO,0412340577,85726
12312305844,VINÍCIUS TAVARES,0412340585,65751
12312305925,BRUNA SAMPAIO,0412340593,87577
12312306069,ANTÔNIO RESENDE,0412340607,54057
12312306140,EMILLY MEIRELES,0412340615,80593
12312306220,BRUNO SOARES,0412340623,87570
12312306301,YASMIN GOUVEIA,0412340631,60357
12312306492,KAUÃ DINIZ,0412340640,42190
12312306573,VITÓRIA FONTES,0412340658,64070
12312306654,JOÃO VITOR ALBUQUERQUE,0412340666,36193
12312306735,BIANCA HOLANDA,0412340674,77484
12312306816,MARCELO CAMPOS,0412340682,10421
12312306905,JULIANA LIRA,0412340690,88694
12312307030,RENATO FIGUEIREDO,0412340704,47255
12312307111,REBECA DUTRA,0412340712,45597
12312307200,ALEXANDRE MAGALHÃES,0412340720,84673
12312307383,GABRIELA PRADO,0412340739,22196
12312307464,YURI PIMENTA,0412340747,99288
12312307545,ALÍCIA FRANCO,0412340755,14936
12312307626,ÍCARO TELES,0412340763,24924
12312307707,OLIVIA ÁVILA,0412340771,14132
12312307898,JOÃO PEDRO MARQUES,0412340780,13288
12312307979,LARISSA ANTUNES,0412340798,48908
12312308002,JOAQUIM FARIAS,0412340801,76301
12312308193,SARAH BASTOS,0412340810,96072
12312308274,RICARDO MUNIZ,0412340828,51218
12312308355,ANA BEATRIZ FOGAÇA,0412340836,83260
12312308436,OTÁVIO NAVES,0412340844,37595
12312308517,MARIA CECÍLIA VALENTE,0412340852,91279
12312308606,AUGUSTO GALVÃO,0412340860,91901
12312308789,CATARINA DRUMOND,0412340879,10736
12312308860,TOMÁS PORTELA,0412340887,37634
12312308940,NATÁLIA MUNHOZ,0412340895,53298
12312309084,LEANDRO CASTELO,0412340909,35556
12312309165,ELOÁ SEIXAS,0412340917,57928
12312309246,IGOR PINHO,0412340925,88003
12312309327,MARIA CLARA BELTRÃO,0412340933,11399
12312309408,CAUÊ RANGEL,0412340941,70952
12312309599,MILENA BICALHO,0412340950,48376
12312309670,BRENO VILELA,0412340968,11778
12312309750,STELLA LOVATO,0412340976,88973
12312309831,FERNANDO FURTADO,0412340984,89490
12312309912,ESTER MARINHO,0412340992,26982
12312310090,MÁRCIO BITTENCOURT,0412341000,81559
